Time_ms,Amplitude
0,0.169
0.391,0.626
0.781,0.815
1.172,0.727
1.563,0.474
1.953,0.088
2.344,-0.474
2.734,-1.004
3.125,-1.194
3.516,-1.025
3.906,-0.644
4.297,-0.343
4.688,-0.256
5.078,-0.263
5.469,-0.272
5.859,-0.166
6.25,0.171
6.641,0.652
7.031,0.916
7.422,0.831
7.813,0.733
8.203,0.618
8.594,0.54
8.984,0.416
9.375,0.192
9.766,0.103
10.16,-0.107
10.55,-0.337
10.94,-0.62
11.33,-0.899
11.72,-1.03
12.11,-0.908
12.5,-0.623
12.89,-0.175
13.28,0.192
13.67,0.219
14.06,0.104
14.45,0.206
14.84,0.331
15.23,0.18
15.63,-0.023
16.02,-0.192
16.41,-0.503
16.8,-0.673
17.19,-0.182
17.58,0.543
17.97,1.037
18.36,0.989
18.75,0.643
19.14,0.257
19.53,-0.162
19.92,-0.339
20.31,-0.058
20.7,0.527
21.09,0.792
21.48,0.748
21.88,0.514
22.27,0.071
22.66,-0.439
23.05,-0.746
23.44,-0.824
23.83,-0.831
24.22,-0.843
24.61,-0.849
25.0,-0.7
25.39,-0.315
25.78,0.109
26.17,0.29
26.56,0.429
26.95,0.356
27.34,0.39
27.73,0.595
28.13,0.724
28.52,0.867
28.91,0.92
29.3,0.623
29.69,0.149
30.08,-0.196
30.47,-0.524
30.86,-0.55
31.25,-0.283
31.64,-0.255
32.03,-0.652
32.42,-1.087
32.81,-1.188
33.2,-0.774
33.59,-0.031
33.98,0.522
34.38,0.607
34.77,0.572
35.16,0.437
35.55,0.101
35.94,-0.279
36.33,-0.594
36.72,-0.649
37.11,-0.214
37.5,0.311
37.89,0.628
38.28,0.82
38.67,0.869
39.06,0.635
39.45,0.273
39.84,-0.145
40.23,-0.299
40.63,-0.081
41.02,0.281
41.41,0.552
41.8,0.72
42.19,0.632
42.58,0.167
42.97,-0.387
43.36,-0.891
43.75,-1.267
44.14,-1.208
44.53,-0.754
44.92,-0.289
45.31,-0.0014
45.7,0.104
46.09,-0.036
46.48,-0.224
46.88,-0.084
47.27,0.302
47.66,0.76
48.05,0.998
48.44,0.966
48.83,0.647
49.22,0.438
49.61,0.159
50.0,-0.047
50.39,-0.089
50.78,-0.033
51.17,-0.164
51.56,-0.462
51.95,-0.819
52.34,-1.154
52.73,-0.996
53.13,-0.448
53.52,0.121
53.91,0.334
54.3,0.344
54.69,0.243
55.08,0.114
55.47,0.092
55.86,0.0083
56.25,-0.179
56.64,-0.276
57.03,-0.482
57.42,-0.521
57.81,-0.144
58.2,0.443
58.59,0.885
58.98,0.937
59.38,0.671
59.77,0.246
60.16,-0.114
60.55,-0.214
60.94,0.095
61.33,0.609
61.72,0.864
62.11,0.854
62.5,0.643
62.89,0.121
63.28,-0.529
63.67,-0.97
64.06,-1.085
64.45,-0.947
64.84,-0.744
65.23,-0.646
65.63,-0.667
66.02,-0.516
66.41,-0.179
66.8,0.122
67.19,0.421
67.58,0.645
67.97,0.771
68.36,0.626
68.75,0.617
69.14,0.637
69.53,0.659
69.92,0.636
70.31,0.343
70.7,0.046
71.09,-0.303
71.48,-0.573
71.88,-0.698
72.27,-0.736
72.66,-0.763
73.05,-0.802
73.44,-0.609
73.83,-0.343
74.22,-0.156
74.61,0.024
75.0,0.362
75.39,0.538
75.78,0.481
76.17,0.21
76.56,-0.077
76.95,-0.339
77.34,-0.675
77.73,-0.567
78.13,-0.08
78.52,0.607
78.91,0.965
79.3,0.906
79.69,0.586
80.08,0.156
80.47,-0.225
80.86,-0.272
81.25,0.135
81.64,0.493
82.03,0.616
82.42,0.629
82.81,0.435
83.2,0.094
83.59,-0.227
83.98,-0.539
84.38,-0.778
84.77,-0.887
85.16,-0.975
85.55,-0.831
85.94,-0.53
86.33,-0.072
86.72,0.225
87.11,0.263
87.5,0.195
87.89,0.153
88.28,0.372
88.67,0.609
89.06,0.774
89.45,0.728
89.84,0.649
90.23,0.412
90.63,0.076
91.02,-0.209
91.41,-0.32
91.8,-0.195
92.19,-0.215
92.58,-0.462
92.97,-0.909
93.36,-1.139
93.75,-0.891
94.14,-0.202
94.53,0.416
94.92,0.524
95.31,0.423
95.7,0.246
96.09,0.101
96.48,-0.126
96.88,-0.393
97.27,-0.482
97.66,-0.414
98.05,-0.27
98.44,-0.066
98.83,0.283
99.22,0.626
99.61,0.746
100.0,0.624
100.4,0.436
100.8,0.069
101.2,-0.062
101.6,0.118
102.0,0.427
102.3,0.708
102.7,0.829
103.1,0.679
103.5,0.284
103.9,-0.3
104.3,-0.892
104.7,-1.212
105.1,-1.14
105.5,-0.821
105.9,-0.477
106.3,-0.283
106.6,-0.286
107.0,-0.305
107.4,-0.231
107.8,0.055
108.2,0.601
108.6,0.974
109.0,0.906
109.4,0.696
109.8,0.542
110.2,0.378
110.5,0.377
110.9,0.274
111.3,0.2
111.7,-0.018
112.1,-0.344
112.5,-0.678
112.9,-0.97
